epoch,loss,kidney_ax,tumor_ax,lr
1,1.4614550657272338,0.3287715279393626,0.0,0.009981998198678612
2,0.8157987899780273,0.5543907707977284,0.0,0.00996399278941777
3,0.724186774969101,0.552958579438406,0.0,0.009945983764247315
4,0.6880284876823425,0.5051421846682705,0.02886534178421175,0.009927971115163414
5,0.6417371567487716,0.6320121497650607,0.07247415425182267,0.009909954834128341
6,0.6306929839849472,0.6288852913078481,0.11874652597219998,0.00989193491307027
7,0.5975950486660003,0.6838644992881003,0.08853997301886969,0.00987391134388305
8,0.6007898579239845,0.6621968900538504,0.061758841506073116,0.009855884118426006
9,0.5669832675457,0.6503141321504913,0.06845632441816953,0.009837853228523706
10,0.5618026148676872,0.6915206174274396,0.10953899601690374,0.009819818665965752
11,0.5619485384225845,0.6629793473452353,0.14298393357826952,0.009801780422506557
12,0.5081300024986267,0.7250460496093251,0.14651010325637745,0.009783738489865112
13,0.5097330172657967,0.7121102376248626,0.12751423947081328,0.009765692859724779
14,0.46882837343215944,0.6990203129086007,0.11370531776977151,0.009747643523733043
15,0.5099040105938911,0.6954680503631957,0.16309598231336242,0.009729590473501306
16,0.4668254470229149,0.6817537506780846,0.0862401460486979,0.009711533700604631
17,0.4899896697998047,0.6974270444878807,0.1277442621100641,0.009693473196581535
18,0.46589236402511597,0.7211518197180117,0.1944317202297552,0.009675408952933734
19,0.45819396087527275,0.7569194276639326,0.19135589481524715,0.009657340961125919
20,0.47025431537628176,0.7203759224333162,0.19771280118014392,0.009639269212585509
21,0.4783121449351311,0.7596965281726765,0.19148015837870813,0.009621193698702417
22,0.42301514506340027,0.7158744286046598,0.17504584557004632,0.009603114410828804
23,0.43418956550955773,0.7751793508037464,0.24365385559603722,0.009585031340278832
24,0.42022533258795736,0.7104785872776663,0.19162474903964036,0.009566944478328421
25,0.4294664588570595,0.7000394155353572,0.16010443636361515,0.009548853816214998
26,0.4187416883409023,0.7252713295218798,0.17309951115494546,0.009530759345137247
27,0.4117177597284317,0.7373712062057227,0.19071656503655685,0.009512661056254852
28,0.4188742090165615,0.7000857439583205,0.18776700139285188,0.009494558940688246
29,0.409682905882597,0.7311256614919491,0.22992694951182047,0.00947645298951835
30,0.409114705234766,0.7217935098636389,0.16950439594966984,0.009458343193786321
31,0.39607130381464956,0.7683224144142372,0.22279334566017506,0.00944022954449327
32,0.4133195666372776,0.7039815234638591,0.20395631605302358,0.009422112032600018
33,0.38238091680407527,0.7382422502793579,0.21387074717542975,0.009403990649026823
34,0.39988647454977033,0.7505852237117185,0.22907853930202707,0.009385865384653105
35,0.4074493298828602,0.6741025969734222,0.19027614257194728,0.009367736230317175
36,0.3959783623218536,0.7466784540718382,0.27195904847539526,0.009349603176815975
37,0.3852336938381195,0.737361513604704,0.24841279813030978,0.009331466214904776
38,0.37902256616950036,0.7476470073479721,0.25870541086261967,0.009313325335296928
39,0.3854677348434925,0.7345453872771074,0.2103877533006053,0.009295180528663556
40,0.3808744563162327,0.728174382124565,0.2801582464516534,0.009277031785633282
41,0.37059120026230813,0.7762748659688343,0.25101346046496126,0.00925887909679195
42,0.37295256024599077,0.7339592981994532,0.32398754151297876,0.00924072245268232
43,0.3896530576646328,0.7435759148581162,0.2227776045410086,0.009222561843803788
44,0.3850666509270668,0.7375216387011344,0.2946402898438832,0.009204397260612089
45,0.3535302285552025,0.7374191203439916,0.27091125456057874,0.009186228693518995
46,0.3676233094930649,0.7536751150852173,0.3194876632872731,0.009168056132892021
47,0.39320844557881357,0.6997022984622799,0.2429391040094829,0.009149879569054125
48,0.36278166016936303,0.7314333491521777,0.28707737973914693,0.009131698992283397
49,0.36907282084226606,0.7463431761518593,0.26667594219436663,0.00911351439281275
50,0.37988688281178473,0.8039539619826699,0.32735820648602815,0.009095325760829623
51,0.36560302060842514,0.7855055250417169,0.3138280096936876,0.009077133086475645
52,0.3594149030148983,0.7405360065512193,0.2874926709408558,0.009058936359846346
53,0.3653967095017433,0.7891514254358856,0.2597878897969376,0.009040735570990808
54,0.34102302822470665,0.729697019843787,0.24000073203078687,0.009022530709911372
55,0.3459490531384945,0.7736497846106767,0.2727587124881482,0.00900432176656329
56,0.369785035520792,0.7218115913551858,0.30572996166693095,0.008986108730854411
57,0.3493726782798767,0.720012773633112,0.2299283700702265,0.008967891592644845
58,0.3567045355439186,0.7688690103742202,0.31530068866217703,0.008949670341746629
59,0.3488411364853382,0.7497708039985388,0.2952892347581029,0.008931444967923387
60,0.371797188192606,0.738902315868592,0.2879600134284737,0.00891321546089
61,0.36814592251181605,0.7457370769515003,0.2996801625417846,0.008894981810312246
62,0.335653974711895,0.7322565585629587,0.3231420476431132,0.008876744005806469
63,0.33829970118403435,0.7377651963028905,0.3905405851013312,0.00885850203693922
64,0.35413872241973876,0.7813607627031774,0.33388464885685826,0.008840255893226907
65,0.32762515100836753,0.7445449121634001,0.3355451975001897,0.008822005564135439
66,0.3447391111701727,0.743931405615592,0.23729082485969774,0.008803751039079861
67,0.3263139569759369,0.72954318613729,0.37467429219166837,0.008785492307423998
68,0.3487277938723564,0.7522215705365239,0.38196112995153036,0.008767229358480086
69,0.3321394142508507,0.753562718667273,0.317443043073318,0.008748962181508392
70,0.3237628048658371,0.7630855642545321,0.36345956218227043,0.00873069076571686
71,0.3467044885903597,0.7764844506861143,0.37584553286435735,0.008712415100260714
72,0.3239646127820015,0.7219382650708571,0.28290954361253623,0.008694135174242088
