epoch,loss,kidney,tumor,lr
1,1.2213237211704253,0.5309531400643007,0.0,0.009981998198678612
2,0.884912360906601,0.7076231333940455,0.0,0.00996399278941777
3,0.8031523427963256,0.7599460779539599,0.0,0.009945983764247315
4,0.7379277341365814,0.8072481842759337,0.0,0.009927971115163414
5,0.6865565752983094,0.7868067357011367,0.02919825934721228,0.009909954834128341
6,0.67258769094944,0.8610828273267147,0.07534376730213241,0.00989193491307027
7,0.6209439362287521,0.8733144564144439,0.1316401011183705,0.00987391134388305
8,0.6011153178811073,0.9059302690827562,0.17741727692860737,0.009855884118426006
9,0.5670897555351258,0.8539360589853333,0.20166527199343737,0.009837853228523706
10,0.5793109922409058,0.9078679583183504,0.24700820010118674,0.009819818665965752
11,0.5412364121675491,0.8939154348198252,0.1697896634967537,0.009801780422506557
12,0.5409421554207802,0.9160552667567109,0.24744220454036528,0.009783738489865112
13,0.5383713316917419,0.9004461366080025,0.28500570122316893,0.009765692859724779
14,0.5252991179823876,0.9325473083418386,0.3696117883210413,0.009747643523733043
15,0.5052328784167767,0.9318499007723646,0.3973160695643688,0.009729590473501306
16,0.4901851697266102,0.9324737509888614,0.43436907425832955,0.009711533700604631
17,0.4915928734242916,0.9264219949050246,0.3951947244795377,0.009693473196581535
18,0.44803301694989206,0.932156197862282,0.3373666990364616,0.009675408952933734
19,0.44677501636743544,0.9325681675273269,0.3275064902044199,0.009657340961125919
20,0.4253143295049667,0.9351946247431733,0.43997691173971226,0.009639269212585509
21,0.4227525645494461,0.9382951789325694,0.46911077016129477,0.009621193698702417
22,0.41993200358748434,0.9391157145283522,0.4873669537254489,0.009603114410828804
23,0.41268096363544465,0.9340704234454645,0.46071365687139393,0.009585031340278832
24,0.4153730470836163,0.9361170933463624,0.5084136867281666,0.009566944478328421
25,0.3963447284400463,0.9307016331392303,0.40365946563678684,0.009548853816214998
26,0.406765404433012,0.942042215357119,0.4757457956437096,0.009530759345137247
27,0.3679428673684597,0.9332568638984369,0.517315139789019,0.009512661056254852
28,0.3521706689596176,0.9425853031511369,0.548552927918266,0.009494558940688246
29,0.3767062588632107,0.9441238779312661,0.5346687334628848,0.00947645298951835
30,0.35940459522604945,0.9413247016649667,0.5436144977963532,0.009458343193786321
31,0.3707724870145321,0.9427329262991834,0.5628993290718237,0.00944022954449327
32,0.3424430827498436,0.94371336387593,0.6147360294704151,0.009422112032600018
33,0.3723501524329185,0.9427036213128249,0.5515930357325973,0.009403990649026823
34,0.3402505276501179,0.9443857834539843,0.5545334002935847,0.009385865384653105
35,0.35666127055883406,0.9416078981257989,0.49017588464079265,0.009367736230317175
36,0.33550167945027354,0.9295829266066316,0.47378820619906686,0.009349603176815975
37,0.3517255519926548,0.9437299347928665,0.5539005590526948,0.009331466214904776
38,0.33898902928829194,0.9408182662871276,0.5688266922225889,0.009313325335296928
39,0.33426574963331224,0.9437871280568981,0.5145853212818022,0.009295180528663556
40,0.3358600028753281,0.9440271469991468,0.5837047893615869,0.009277031785633282
41,0.32151186949014665,0.933867625457427,0.4716004122531503,0.00925887909679195
42,0.32043927723169324,0.9343998301270441,0.5158912293651903,0.00924072245268232
43,0.32791411703824996,0.9387141843507048,0.5139625647041328,0.009222561843803788
44,0.3157465032935142,0.9450553679983211,0.6110387024499454,0.009204397260612089
45,0.33178167831897737,0.9339299495693928,0.5462647232587619,0.009186228693518995
46,0.31082587942481044,0.9448285708237105,0.5550222118232221,0.009168056132892021
47,0.3217108946442604,0.9416255473000331,0.49843213308310536,0.009149879569054125
48,0.30473916232585907,0.9460676064239608,0.6624706815515335,0.009131698992283397
49,0.29025122717022894,0.9460071726081426,0.6144705950143741,0.00911351439281275
50,0.2936770745515823,0.9349792335055145,0.5225258865742064,0.009095325760829623
51,0.29796655547618867,0.9366577351047165,0.5484110024341905,0.009077133086475645
52,0.30998931914567945,0.9433617628729524,0.6429217642464142,0.009058936359846346
53,0.3076647734344006,0.9456989007260184,0.5897751756120834,0.009040735570990808
54,0.31707399144768716,0.9407870997345873,0.5422204718351852,0.009022530709911372
55,0.3197186088562012,0.9463991152729536,0.5525951721048012,0.00900432176656329
56,0.29409509244561194,0.9448998605885559,0.6374062962193772,0.008986108730854411
57,0.3021235002577305,0.9300864895642653,0.5312154823288651,0.008967891592644845
58,0.2903544048964977,0.9443414130400629,0.609895292481588,0.008949670341746629
59,0.2760168528556824,0.9478164082104084,0.612877420927098,0.008931444967923387
60,0.30103175339102745,0.9417657180435977,0.6896585031803534,0.00891321546089
61,0.30311135613918305,0.9461423536720689,0.6302517490495243,0.008894981810312246
62,0.3008185216188431,0.9433097355469695,0.5631512049902905,0.008876744005806469
63,0.3156015910208225,0.9471815598632135,0.606751134539518,0.00885850203693922
64,0.27398754194378855,0.947145706693348,0.5742603489951458,0.008840255893226907
65,0.2931662697196007,0.9444819814177815,0.6391793460577433,0.008822005564135439
66,0.29187853863835334,0.9459664513292267,0.6835605487588648,0.008803751039079861
67,0.28336547672748563,0.9353071057090563,0.667611617830585,0.008785492307423998
68,0.2621825840473175,0.9465976755178039,0.700200757479595,0.008767229358480086
69,0.2996446118056774,0.9469815827125216,0.6264694406858875,0.008748962181508392
70,0.28470086881518364,0.9409339147585256,0.6779440058747669,0.00873069076571686
71,0.2866688198745251,0.947351229180887,0.6710169996659587,0.008712415100260714
72,0.28046680477261543,0.9438306102638054,0.5326101728631197,0.008694135174242088
73,0.2882812239527702,0.9477136729894375,0.555215591695816,0.00867585097670964
74,0.28319599279761315,0.94608979854047,0.6472359440066205,0.008657562496658165
75,0.2819098373055458,0.9453792556186299,0.6030693306886324,0.008639269723028191
76,0.28007740569114686,0.9398000425168399,0.5666227223966852,0.008620972644705602
77,0.2658106937110424,0.9476753161266889,0.5339758550457744,0.008602671250521225
78,0.27403912231326105,0.9455600829542122,0.6900587182976309,0.00858436552925043
79,0.2845106320977211,0.9471451354189777,0.6902598200758437,0.008566055469612725
80,0.2497828730493784,0.9467242627114962,0.7485647220379472,0.008547741060271343
81,0.26242385560274123,0.9456404140532035,0.567475131051184,0.008529422289832824
82,0.26986483883857726,0.9478366281514672,0.6547012952218569,0.008511099146846599
83,0.26544011071324347,0.9460892880059071,0.5990126923476882,0.008492771619804565
84,0.2460008678138256,0.9474216136377337,0.624164047822907,0.008474439697140658
85,0.25767933821678163,0.9468166771004446,0.7335308055481675,0.00845610336723042
86,0.2673646277487278,0.9425642395975766,0.6581906245286598,0.008437762618390562
87,0.2606016509234905,0.9464509756092234,0.6199379636437801,0.008419417438878526
88,0.27621201154589653,0.9473634280971149,0.6251385276488063,0.00840106781689204
89,0.27784589180350305,0.9453119733859295,0.728736098293235,0.008382713740568662
90,0.26163433107733725,0.9451784673833292,0.6314988471580578,0.008364355197985339
91,0.24678576976060868,0.9466337892300442,0.6740020487545307,0.008345992177157936
92,0.23365379470586778,0.947273744035468,0.5923653546299529,0.00832762466604078
93,0.2373765391111374,0.9479868390458925,0.6913538100707741,0.008309252652526187
94,0.2433357261121273,0.947044274568873,0.6887678500053297,0.008290876124443998
95,0.26362517628073695,0.9382882553389057,0.6648468384222856,0.008272495069561094
96,0.25637986078858377,0.945134375670488,0.5376960614727696,0.00825410947558092
97,0.2644052366018295,0.9481061150521111,0.7057079173512851,0.008235719330142988
98,0.22839789760112764,0.9485075437129837,0.6417704749708021,0.008217324620822402
99,0.24270081707835198,0.9475440324501179,0.6811763616823676,0.008198925335129345
100,0.26940671235322955,0.9371193268700654,0.6522124174841459,0.008180521460508584
101,0.2466396988928318,0.9479629713267386,0.6714655363764319,0.008162112984338965
102,0.26518986289203167,0.948284264851351,0.6614994631402612,0.008143699893932899
103,0.24375977912545205,0.949353002053665,0.626101911472798,0.008125282176535839
104,0.2468741017282009,0.9435061435020751,0.5979231893709972,0.00810685981932577
105,0.24937296465039252,0.9471521260774313,0.6853462330340568,0.008088432809412661
106,0.22731281647086143,0.9483964075769747,0.5166222152529568,0.008070001133837955
107,0.25282720279693605,0.9475033701694978,0.7137271252245079,0.008051564779574008
108,0.24621278558671475,0.9483948660671935,0.5814988673708783,0.008033123733523561
109,0.2628991878926754,0.9466295254532644,0.6792403938949649,0.008014677982519177
110,0.21920716124773026,0.9470924742527369,0.5969435721235922,0.007996227513322693
111,0.24397884273529052,0.938691180087155,0.5827570830053485,0.007977772312624648
112,0.2567355057001114,0.9480718904999548,0.7612427685885114,0.00795931236704373
113,0.23650056836009026,0.9471020647540053,0.6417607153921568,0.007940847663126185
114,0.2628857226371765,0.9471005286994104,0.7432975050722934,0.00792237818734525
115,0.250330071285367,0.9483012121853196,0.7095818844634084,0.007903903926100556
116,0.2376102075725794,0.9480699792599008,0.6483935907802311,0.007885424865717545
117,0.26625345820188523,0.9471006048518876,0.7075355444555782,0.007866940992446862
118,0.2518964589238167,0.9454148853182415,0.6806179468079588,0.007848452292463757
119,0.25483099061250686,0.9470386586782394,0.5781394648906978,0.007829958751867469
120,0.2599867120683193,0.9485879484185022,0.7489156155095766,0.007811460356680608
121,0.2529368223696947,0.9486075853160588,0.6566783456163179,0.007792957092848531
122,0.2568561081588268,0.9474718440913057,0.6437495807007438,0.007774448946238706
123,0.24732213965058328,0.9478539192295556,0.6488224425267124,0.007755935902640081
124,0.2272227885723114,0.9467671170391196,0.685733266033076,0.007737417947762429
125,0.23885939128696917,0.9479397230543929,0.6642383593032977,0.007718895067235705
126,0.23109038376808166,0.9477296752288372,0.6789407441179305,0.007700367246609374
127,0.2393799467086792,0.9475751586871841,0.7022824655023209,0.0076818344713517565
128,0.2381292528808117,0.9438584154716213,0.6236593071654398,0.007663296726849344
129,0.23470439814031124,0.9481039248116712,0.67678910152804,0.007644753998406123
